clean_address,crime_count,most_frequent_crime
ASHDALE        ,4,SIMPLE ASSAULT
ASHDALE AV,9,ALL OTHER OFFENSES
ASHDALE AV   ,14,AGGRAVATED ASSAULT
ASHDALE AV     ,47,SIMPLE ASSAULT
ASHDALE AVE,2,DRIVING UNDER INFLUENCE
ASHDALE AVE    ,9,CRIMINAL MISCHIEF
ASHDALE ST,1,POSSESSION/USE DANGEROUS WEAPONS
ASHWORTH PL,7,CRIMINAL MISCHIEF
ASHWORTH PL     ,27,CRIMINAL MISCHIEF
ASHWORTH ST,1,SIMPLE ASSAULT
ATKINSON        ,1,SIMPLE ASSAULT
ATKINSON AV     ,1,LARCENY
ATKINSON AVE    ,1,OFFN AGAINST FAMILY
ATLANTIC,3,CRIMINAL MISCHIEF
ATLANTIC        ,1,LARCENY
ATLANTIC AV,11,SIMPLE ASSAULT
ATLANTIC AV   ,5,AGGRAVATED ASSAULT
ATLANTIC AV     ,28,CRIMINAL MISCHIEF
ATLANTIC AVE,1,CRIMINAL MISCHIEF
ATLANTIC AVE    ,14,SIMPLE ASSAULT
AUDOBON PKWY   ,2,CRIMINAL MISCHIEF
AUDUBON PARK   ,1,AGGRAVATED ASSAULT
AUDUBON PK,1,SIMPLE ASSAULT
AUDUBON PK     ,1,CRIMINAL MISCHIEF
AUDUBON PKWY,15,LARCENY
AUDUBON PKWY   ,70,LARCENY
AUSTIN AV,1,LARCENY
AUSTIN AV   ,1,LARCENY
AUSTIN AV     ,4,AGGRAVATED ASSAULT
AUSTIN AVE    ,1,KIDNAPPING
AVALON DR     ,1,LARCENY
AVERY,9,SIMPLE ASSAULT
AVERY        ,2,LARCENY
AVERY AV,39,SIMPLE ASSAULT
AVERY AV ,1,BURGLARY
AVERY AV   ,11,BURGLARY
AVERY AV     ,89,SIMPLE ASSAULT
AVERY AVE,7,CRIMINAL MISCHIEF
AVERY AVE    ,32,SIMPLE ASSAULT
AVOCA ST,2,FORGERY/COUNTERFEIT
AVOCA ST     ,1,LARCENY
AVON RD     ,5,SIMPLE ASSAULT
AVONDALE AV     ,1,CRIMINAL MISCHIEF
AVONDALE PL,7,LARCENY
AVONDALE PL   ,1,MV THEFT
AVONDALE PL     ,15,LARCENY
BABIN ST     ,1,CRIMINAL MISCHIEF
BAKER,4,SIMPLE ASSAULT
BAKER        ,4,CRIMINAL MISCHIEF
BAKER AV,16,CRIMINAL MISCHIEF
BAKER AV ,1,MV THEFT
BAKER AV   ,3,LARCENY
BAKER AV     ,36,CRIMINAL MISCHIEF
BAKER AVE,1,CRIMINAL MISCHIEF
BAKER AVE    ,21,CRIMINAL MISCHIEF
BALDWIN,7,SIMPLE ASSAULT
BALDWIN AV,3,BURGLARY
BALDWIN AV   ,5,AGGRAVATED ASSAULT
BALDWIN AV     ,14,SIMPLE ASSAULT
BALDWIN AVE    ,13,SIMPLE ASSAULT
BALL CIR,4,LARCENY
BALL CIR    ,9,MV THEFT
BALLANTYNE RD,145,SIMPLE ASSAULT
BALLANTYNE RD ,1,MURDER
BALLANTYNE RD   ,3,LARCENY
BALLANTYNE RD     ,301,SIMPLE ASSAULT
BALLARD,1,CRIMINAL MISCHIEF
BALLARD AV,8,SIMPLE ASSAULT
BALLARD AV   ,3,BURGLARY
BALLARD AV     ,15,SIMPLE ASSAULT
BALLARD AVE,2,OFFN AGAINST FAMILY
BALLARD AVE    ,2,SIMPLE ASSAULT
BALLENTYNE RD,2,ALL OTHER OFFENSES
BANK AL,24,ALL OTHER OFFENSES
BANK AL     ,3,CRIMINAL MISCHIEF
BANK ALY   ,3,LARCENY
BANK ALY    ,1,ALL OTHER OFFENSES
BANK ALY & E FAYETTE ST        ,1,LARCENY
BANK ALY & E JEFFERSON ST        ,1,LARCENY
BANK ST,1,LARCENY
BAPTIST WAY    ,1,FRAUD
BARNES,6,SIMPLE ASSAULT
BARNES        ,1,SIMPLE ASSAULT
BARNES AV,10,SIMPLE ASSAULT
BARNES AV ,2,MV THEFT
BARNES AV   ,16,MV THEFT
BARNES AV     ,27,CRIMINAL MISCHIEF
BARNES AVE    ,12,CRIMINAL MISCHIEF
BARRET ST,1,SIMPLE ASSAULT
BARRETT ST,48,POSSESSION/MARIJUANA
BARRETT ST     ,63,SIMPLE ASSAULT
BARRETT ST @ DAVIS ST        ,1,ALL OTHER OFFENSES
BARRINGTON RD     ,6,LARCENY
BASIN ST,11,POSSESSION/USE DRUG
BASIN ST ,1,MURDER
BASIN ST     ,24,CRIMINAL MISCHIEF
BASSETT ST,3,BURGLARY
BASSETT ST     ,17,CRIMINAL MISCHIEF
BEACON RD   ,1,ROBBERY
BEACON RD     ,1,SIMPLE ASSAULT
BEAR ST,64,SIMPLE ASSAULT
BEAR ST ,1,MURDER
BEAR ST   ,2,AGGRAVATED ASSAULT
BEAR ST     ,157,SIMPLE ASSAULT
BEAR ST   W ,1,RAPE
BEAR ST & SPRING ST    ,1,LARCENY
BEAR ST & SUNSET AV        ,1,LARCENY
BEAR ST TO WB I 690 RAMP,1,DRIVING UNDER INFLUENCE
BEARD,1,SIMPLE ASSAULT
BEARD AV     ,1,AGGRAVATED ASSAULT
BEARD PL,2,CRIMINAL MISCHIEF
BEARD PL     ,9,SIMPLE ASSAULT
BEATTIE ST,30,SIMPLE ASSAULT
BEATTIE ST     ,60,LARCENY
BEATTIE ST & NIVEN ST        ,1,AGGRAVATED ASSAULT
BECKER ST     ,3,BURGLARY
BEECH ST     ,1,SIMPLE ASSAULT
BEECHER,1,POSSESSION/MARIJUANA
BEECHER ST,48,SIMPLE ASSAULT
BEECHER ST     ,77,LARCENY
BEECHER ST & S ALVORD ST,1,ROBBERY
BELLAIRE PL,3,SIMPLE ASSAULT
BELLAIRE PL     ,16,SIMPLE ASSAULT
BELLE,3,SIMPLE ASSAULT
BELLE AV,5,AGGRAVATED ASSAULT
BELLE AV   ,4,LARCENY
BELLE AV     ,13,SIMPLE ASSAULT
BELLE AVE,1,LARCENY
BELLE AVE    ,7,SIMPLE ASSAULT
BELLEVUE,44,SIMPLE ASSAULT
BELLEVUE        ,20,SIMPLE ASSAULT
BELLEVUE AL     ,2,AGGRAVATED ASSAULT
BELLEVUE APTS   ,1,AGGRAVATED ASSAULT
BELLEVUE AV,149,POSSESSION/MARIJUANA
